en_text,labels
"A lot of people visited Chandeokgung Palace but missed the Secret Palace, either because they do not know about the Secret Garden or they did not want to pay the additional KRW5,000 (which is approx USD5).",all-0
"You pay 120'000 VND for the entrance (usually 20'000 VND in any other place) and you get into a place with rubbish all around, some of the buildings are covered then you can't even see them.",all-2 amn-2 mgt-2
"However, the secret garden was a let-down, but I did have a good workout walking through it.",all-3 nat-2
"Unfortunately the infrastructure is really lacking: the public toilets were filthy (I’m not that fussy), the cafe food (Banh mi & sandwich & local selection) was almost inedible, no maps or literature or audio tape available.",all-2 amn-2 mgt-2
"A great experience, a hot day bring an umbrella to shettler you from the sun.",all-3 nat-2
The water from the moat was taken from the Huong River (Perfume River) that flows through Huế.,all-0
Our guide speaks excellent English and explains clearly.,all-1 amn-1 ppl-1
"Is an awesome sight with much to see including the bonsais, the gardens and the moats.",all-1 ch-1 nat-1
"A bit expensive fit what it is but obviously the money being out to good use (renovations), some of the staff are a bit rude but the sights are amazing.",all-3 amn-2 mgt-1 ppl-2
"We enjoyed visiting The Citadel, an extremely important place in Vietnamese history and culture.",all-1 ch-1
This place is big and it’s beautiful.,all-1
The Citadel was an epicentre of brutal hand to hand fighting with frequent aerial bomb raids that destroyed many of the buildings reducing them to rubble.,all-2 ch-2
Sad that the Viet Cong bombed all but ten of the original 160 buildings.,all-2 ch-2
However I get to go into the Secret Garden much to my disappointment but seeing the pictures of it were still very beautiful.,all-3 nat-3
"Almost all in all it was an excellent morning and I suggest that in case you're in Hue, look it over.",all-1
:-) it isnt possible to entry from another entry part of citadel - only from main entry where you can buy a ticket.,all-2 mgt-2
Great info and a wonderful way to spend a few hours....the place is massive!,all-1
This was visited after Gyeongbokgung and it was a contrast with different architectural styles.,all-1 ch-1
"It is quite large, so give yourself plenty of time, there is many places to buy basic water and food, and wear good shoes.",all-1 amn-1
The citadel is beautiful and I think it would be a great place for people of any age to go and visit.,all-1
The combination is great and will be so much better in years to come.,all-1
Another ancient place destroyed by American Bombs.,all-2 ch-2
Good stamina is essential as there are many slopes and kinda steep.,all-2
Imagine wearing Hanbok with the castle as your background!,all-1 ch-1
Does it deserves to be an UNESCO Heritage Site?,all-2 ch-2
"Only down side, if there was one, was that apart from snack bars where you could get a drink or ice cream thee was really nowhere to sit an eat, have lunch.",all-2 amn-2
"Fabulous trip starting with dragon boat ride, pagoda visit, Citadel and two tombs.",all-1 amn-1 ch-1
My friends and I waited until the afternoon to visit hoping it could cool down after lunch.,all-2 nat-2
"Unfortunately so much of it has been ruined, maybe it will be rebuilt one day to look close to the original buildings.",all-2 ch-2
This was an amazing place to visit.,all-1
The whole city waa ruined by the American/Vietnamese war.,all-2 ch-2
"My Hubby and I loved it, there is so much to see and the history was so very interesting!",all-1 ch-1
There is a cafe inside with some refreshments & food.,all-1 amn-1
Parts of it is destroyed by war bombing too.,all-2 ch-2
"Food in Hue is amazing, spend your time explore it.",all-1 amn-1
"It's much smaller than I thought and may be it had to do with the Korean history, but the palace seems to be pretty basic.",all-3 ch-1
This palace represents the korean people they reallt preserves their culture and tradition even up to this days.,all-1 ch-1
"We were there around 2 pm and it was very hot and hazy with limited shade except in buildings, so agree with the need to take plenty of water.",all-2 nat-2 mgt-2
There's an exit gate at the side exactly opposite to the entrance gate.,all-0
It was also poorly signposted so take a map/guide.,all-2 mgt-2
"It's such a shame the communist government let it crumble and it was damaged in the Vietnam war, but there is restoration going on.",all-3 mgt-3 ch-2
There's some mobile car service for looking around.,all-1 amn-1
"As there has been a lot already written about this historic location, here's some tips that may be worth conveying to folks:
1) Arrive early to beat the heat and the crowds (unless you like others ""photo bombing"" your images)
2) There is a charming and fully-restored structure in the northeast part of the complex, with a small pond out front that has a miniature island (complete with bonsai trees); the travel guides describe this as a cafe, but it now serves as a small gift shop with quality artworks, plus shade, fans, bottled beverages, and seating for tired folks.",all-3 amn-1 ch-1 mgt-1 nat-3
"A lot of small garden, areas... if you can ask for the map it will be very helpful.",all-1 amn-1
"Through the ""Foreign Visitor's Entrance"", you will see a walkway leading to the Throne Room.",all-0
So much destruction at the hands of so many men of many nationalities.,all-2 ch-2
You can go any season but each season I think evokes a different ambience to the place.,all-1
"i came here, felling, love, beautiful girl, Dragon boat in night river, speacial food: Bánh Nậm, Bánh bèo, Bánh bột lọc, Mè Sửng, so lovely.",all-1 amn-1 nat-1
I don't recommend the secret garden.,all-2 nat-2
"Be aware that at some time of the year, (fall especially) you will have to wake up early to join one of these tours, as the Secret Garden is one of the better place to enjoy the autumn beauty in Seoul.",all-1 nat-1
We highly recommend that you join one of the frequent tours (including with admission).,all-1 amn-1
"At least when u visit one, u feel the connection when you watch korean dramas.",all-1 ch-1
"Contrary to Gyeongbokgung which is flooded with people, Changeokgung didn't have as many visitors when I visited it.",all-0
This palace has the famous secret garden.,all-1 nat-1
"The citatel (imperial) is so big, so great, so amazing.",all-1
The small food/drink place in the Co Ha Gardens makes some great little dishes which you can enjoy while looking out over the bonsai gardens...,all-1 amn-1 nat-1
"really enjoyed my visit to the citadel, it was very interesting to have a walk around this place and feel the history here.",all-1 ch-1 
"We spent 3 hours there easily including a visit to the pavilion surrounded by koi carp, drinking juice out of coconuts.",all-1 amn-1
The whole area was deserted and i was terrified about being locked in.,all-2
"If you've only got time for one palace, choose Gyeongbokgung.",all-1
"5/ The local toilets are not enough,not clean and smelly.",all-2 mgt-2
"This Palace gives you two visits for the price of one (well, not really - you need to buy a ticket to see the secret garden too), so if you can only fit in one Palace in Seoul, this one might be for you.",all-1
"It is not worth a visit, stay a way and save your time for something else in Hue.",all-2
"Weather was very sunny and warm and do remember to bring along an umbrella, hat and drinking water.",all-2 nat-2
I took many great photos here as the mix of architecture and plants/trees make for great visuals.,all-1 ch-1 nat-1
"There's a fabulous performance of live theatre here too, across the park in the performance building - traditional dancing, singing, instruments I have never seen before and gorgeous use of lanterns during the show.",all-1 amn-1 ch-1
The grounds are not perfectly maintained and the damage of weather and wars are visible everywhere.,all-2 mgt-2 ch-2
Unfortunately it was more of a disappointment for us.,all-2
Do stop and listen to the audio commentary on tv screens placed at certain points in the site.,all-1 amn-1
Loved the new tennis courts they obviously have their priority's,all-1 ch-1
Hue is a very mediocre city to visit in Vietnam.,all-2
Unfortunately many of the buildings destroyed during war with the French then the Americans.,all-2 ch-2
"I recommend ""one day hanbok"" as the place to get your hanbok for both men and women.",all-1 amn-1
"Lots of lovely gardens and temples to visit, definitely recommend a visit while in Hue.",all-1 ch-1 nat-1
Too bad the war destroyed it.,all-2 ch-2
Most of the buildings were destroyed by US and Viet Cong bombs during the war,all-2 ch-2
"This site is huge with a lot of dry grass and nothing much to see in the middle and between buildings, so I would say we could have expedited/improved our visit by sticking to the perimeter of the site.",all-2 nat-2 mgt-2
Disappointed as bit ruin down & no maps to follow along with limited information boards through out site,all-2 ch-2 mgt-2
"Lots of youngsters wearing national costume to the event ( apparently you can rent them nearby for a couple of hours for a small fee and entry to the Palace will then be free), and lots of buses dropping off groups of school children.",all-1 amn-1
Hope to return for a more thorough visit.,all-1
The views back into downtown are surreal.,all-1
"There are many planned restorations, which will make it an incredible Unesco site to visit in the future.",all-1 ch-1 mgt-1
Note that we stopped at a cafe near a pond and had an ice cream that made us sick.,all-2 amn-2
"A guided tour might provide a better perspective of the city, but I appreciated the exploratory freedom nonetheless.",all-1 amn-1
A very good deal if you have a few days in Seoul.,all-1
"Upon entering Huwon through the entrance gate with your Huwon entrance ticket, your guide might allow you to wander around Huwon on your own at your own pace, because Huwon guides tend to walk at fast pace without waiting for slow walkers.",all-0
Really enjoyed the detail on the roofs and eaves.,all-1 ch-1
"Read up on them, pick carefully, and go to some, BUT NOT ALL as much is replicated.",all-2 ch-2
"The Citadel, aka the Imperial City, is the triple-walled compound established in the early 1800's when Hue was Viet Nam's capital.",all-1 ch-1
The only thing that was bothering me at times was the blatant disrespect of some people.,all-2 ppl-2
"Said that, we enjoyed very much this magnificent imperial complex, with more than a hundred buildings inside, beautiful gardens and even a really nice crafts shop.",all-1 amn-1 ch-1 nat-1
So better find a shop and dress like local for a day.,all-1
"Citadel Hué: Interesting but very poor educational service; hardly any information panels, audio guide useless:
A patchwork of information is read down by a seemingly bored german voice.",all-3 amn-2 mgt-2
"Phone number : + 84 905 290039 or (0905 290039) inside Vietnam
Or E-mail direct for Tour guide service to lcthanh2006@yahoo.com
I am very thankful to have such a memorable experience in Hue , and that is purely because of the unforgetable experience i had with Mr Thanh.",all-1 amn-1 ppl-1
Changdeok Palace is one of my favorite palaces out of the 4 main palaces in Seoul because it houses the Secret Garden.,all-1 nat-1
When you enter the Citadel through a short tunnel from the south you arrive about 100 metres from the main entrance of the Palace.,all-0
You should also go on a tour to gain a better understanding of how the garden was used.,all-1
"For a foreigner, it seems quite similar to Gyeongbokgung Palace, except that this one is not overcrowded.",all-1
I'm definitely more into taking my time and exploring/photographing.,all-0
"This palace is more laid back and cozy, make sure
1- you visit the secret garden (it has a separate ticket)
2- you go with the free tour provided, check the timing before you go",all-1 amn-1 nat-1
"the palace is not very big, just enjoy the natural sight and immagine the happened stories of this palace.",all-3 nat-1 ch-1
It’s lack luster and in pretty bad condition.,all-2 mgt-2
It is a compound built around the emperor of the time enclosing the purple city (the Royal quarters) within the citadel.,all-1 ch-1
The secret garden is well worth seeing - it's an additional cost and you must have a guide to escort you around.,all-1 nat-1 amn-1
"Areas have no paths, there are lots of scaffolding up etc very poorly maintained.",all-2 mgt-2
"Buildings from yesterday, almost nothing is original, everything rebuilt in the last years... it is just worth it because what happened around there... no interest",all-3 ch-3 mgt-1
"Unfortunately the Citadel has been ravaged by the war, & after viewing the tombs you realize what this must have been like before being shelled & bombed.",all-2 ch-2
"The secret garden tour is ok but it was way too long and the group is way too big, so it is very hard to follow what was explained by the tour guide.",all-3 nat-1 amn-2
What made the trip really enjoyable was the great service provided by the tour guide and driver.,all-1 amn-1 ppl-1
About a block beyond the gate is an on-site museum housing many personal items of the ruling family.,all-1 ch-1
An interesting visit which will only get better.,all-1
We greatly enjoyed our tour of The Citadel.,all-1
"Not as huge and ""sprawling"" (way to the back) as Gyeongbokgung and also not as ""brightly colorful"" with ceremonial guards & big guard ceremony as at Gyeongbokgung (saw no ceremonial guard whatsoever at the gate here), the ""highlight"" of this palace that sets it apart from all the other palaces is its so-called 'Secret Garden' (a.k.a.",all-3 ch-2 nat-1
"His English is flawless and we were delighted to have spent time with him on a very well organised tour of the Citadel and other sites of importance,

The driver was excellent and the lunch service first class.",all-1 amn-1 ch-1 ppl-1
"It's remarkable to think that less than five minutes from the serene atmosphere of this palace, and some of the surrounding streets, that you're confronted with a grim duel carriageway bloated with traffic.",all-1
No spring flowers.,all-2 nat-2
After all this place was devastated during the war.,all-2 ch-2
"It gets very hot and there is little to no cover in some parts of the grounds so bring an umbrella, lots of water and sun cream.",all-2 nat-2 mgt-2
"Very well laid out the old complex, reasonable walking areas, could do with some maintenance of pathways internally, the old buildings are worth seeing",all-1 ch-1 mgt-1
You can buy some food to feed the carp which are huge.,all-1 amn-1
"So much fun and value, value, value.",all-1
"I saw many nursery school students here, that shows that Koreans teach their young about the roots of the nation.",all-1 ch-1
"Entrance fee to this place is 3000 won, and it is no different from palaces you'd find in Beijing.",all-0
Walk down the side street along the palace wall (very charming) and head to the left to City Hall.,all-1 ch-1
"I really enjoy the visit, prepare to walk...",all-1
the main road isn't very shaded.,all-2 mgt-2
I was really impressed and enjoyed it a lot.,all-1
"Furthermore, the whole area is not really cultivated and maintained: unlike other historical buidlings, there are nearly no descriptions about the history and architectural features of the place, so a very detailed guidebook is necessary.",all-2 amn-2 ch-2 mgt-2
"For tips to visit here, elderly is not good here, need to walk at least 2hours for changdeok palce and Huwon",all-2
We enjoyed the Citadel- it was very grand in nature and was such a large attraction- it took a while for us to explore.,all-1
Thoroughly enjoyable experience in a fantastic city.,all-1
Don't be put off- it was a great few hours and my children loved it!,all-1
"this is a very large and open site, bring plenty of water and sunblock, there is a lot of restoration going on at the moment as most of the site was destroyed by the french and the american war",all-1 mgt-1
"Also, parts of it are under repairs so sort of an eyesore.",all-3 mgt-1
We went there when it was Chuseok so there we're cultural performances which was really cool.,all-1 ch-1
"When we went there, the Secret Garden is only accessible via group guided tours and we are not allowed to wander off on our own in order to ensure the garden is well preserved.",all-1 nat-1 mgt-1
"With good weather, this place is breathtakingly beautiful and serene.",all-1
It was wonderful with lots of entertainment and wonderfully lit.,all-1
Parts of the city have been badly damaged as a result of the Vietnam war and some areas have crumbled due to lack of maintenance which is a real shame.,all-2 ch-2 mgt-2
After walking around for a while we hailed a taxi to take us to the Minh Mang Tomb.,all-0
First the bad bits: The pricing for going to the Citadel was confusing and the signage and instructions were very few and inadequate.,all-2 amn-2 mgt-2
Get past the cyclo touts and you are in!,all-2 ppl-2
Thing about guided tours is they point things out to you that you wouldn't have known or noticed otherwise.,all-1 amn-1
Definitely join a guided tour to know more about the grounds.,all-1 amn-1
The tour guide did not explain well like what I have experienced before and need to see the notes most of time.,all-2 amn-2 ppl-2
"One of the '5 Grand Palaces', this should be part of your program to witness the changing of the guard ceremony, and the gardens behind the walls.",all-1 ch-1 nat-1
It's a shame it was all destroyed by the Americans in the 60's.,all-2 ch-2
We spent a morning here and enjoyed all the parts of this huge place.,all-1
"This was a great place to visit, lots of things to see and the sun is unforgiving.",all-3 nat-2
One UNESCO heritage site ticked!,all-1 ch-1
The garden is another attraction (extra fee) but worth it.,all-1 nat-1
There was huge damage caused by the war and some areas are still in ruins.,all-2 ch-2
"During our short visit, we had the pleasure of indulging in Hue's specialties, which were truly amazing.",all-1 amn-1
"We got an actual guide and they were very disappointing, providing very little information and trying to sell us a boat trip repeatedly.",all-2 amn-2 ppl-2
Well worth the visit and our guide from Hue Private Excursions was so informative it made the day so much more interesting.,all-1 amn-1 ppl-1
Get to the site early as the bus loads of tourists seems to mount up after lunch and the weather seemed a lot cooler in the morning.,all-1 nat-1
The audioguide is the most boring useless things.,all-2 amn-2
The entrance guards (local Vietnamese were very rude with no initiative or feasible and can't speak English.,all-2 amn-2 ppl-2
It is kinda sad because such a great site would be largely improved by some mediation.,all-3 mgt-2
